fila_excel,pedido_id,barrio,error
702,2526,Recoger en Tienda,barrio no encontrado
706,2530,Recoger en Tienda,barrio no encontrado
708,2532,Recoger en Tienda,barrio no encontrado
709,2533,Recoger en Tienda,barrio no encontrado
712,2536,Recoger en Tienda,barrio no encontrado
714,2538,Recoger en Tienda,barrio no encontrado
715,2539,Recoger en Tienda,barrio no encontrado
716,2540,Ciudad Jardín Modelo,barrio no encontrado
718,2541,Recoger en Tienda,barrio no encontrado
720,2543,Recoger en Tienda,barrio no encontrado
723,2545,Recoger en Tienda,barrio no encontrado
727,2549,Recoger en Tienda,barrio no encontrado
728,2550,Recoger en Tienda,barrio no encontrado
738,2559,Recoger en Tienda,barrio no encontrado
745,2565,Recoger en Tienda,barrio no encontrado
749,2567,Recoger en Tienda,barrio no encontrado
750,2568,Recoger en Tienda,barrio no encontrado
761,2577,Recoger en Tienda,barrio no encontrado
763,2578,Ciudad Jardín Modelo,barrio no encontrado
764,2579,Recoger en Tienda,barrio no encontrado
765,2580,Recoger en Tienda,barrio no encontrado
766,2581,Recoger en Tienda,barrio no encontrado
773,2587,Recoger en Tienda,barrio no encontrado
774,2588,Recoger en Tienda,barrio no encontrado
780,2593,Recoger en Tienda,barrio no encontrado
781,2594,Recoger en Tienda,barrio no encontrado
783,2596,Recoger en Tienda,barrio no encontrado
784,2597,Recoger en Tienda,barrio no encontrado
791,2603,Recoger en Tienda,barrio no encontrado
792,2604,Recoger en Tienda,barrio no encontrado
797,2609,Recoger en Tienda,barrio no encontrado
798,2610,Recoger en Tienda,barrio no encontrado
799,2611,Recoger en Tienda,barrio no encontrado
805,2616,Recoger en Tienda,barrio no encontrado
806,2617,Recoger en Tienda,barrio no encontrado
810,2621,Recoger en Tienda,barrio no encontrado
811,2622,Recoger en Tienda,barrio no encontrado
814,2625,Recoger en Tienda,barrio no encontrado
820,2630,Recoger en Tienda,barrio no encontrado
829,2639,Recoger en Tienda,barrio no encontrado
837,2647,Ciudad Jardín Modelo,barrio no encontrado
840,2649,Recoger en Tienda,barrio no encontrado
846,2655,Recoger en Tienda,barrio no encontrado
847,2656,Recoger en Tienda,barrio no encontrado
848,2657,Recoger en Tienda,barrio no encontrado
860,2667,Recoger en Tienda,barrio no encontrado
863,2670,Recoger en Tienda,barrio no encontrado
865,2672,Recoger en Tienda,barrio no encontrado
867,2674,Recoger en Tienda,barrio no encontrado
870,2677,Recoger en Tienda,barrio no encontrado
871,2678,Recoger en Tienda,barrio no encontrado
